Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,115.69375,-137.492501,180,bottom
C1,100n,C_0402_1005Metric,138.32,-145.05,135,bottom
C2,100n,C_0402_1005Metric,139.82,-144.875,90,bottom
C3,100n,C_0402_1005Metric,134.138504,-142.868504,135,bottom
C4,100n,C_0402_1005Metric,133.466753,-142.196753,135,bottom
C5,100n,C_0402_1005Metric,146.045,-140.25,180,bottom
C6,100n,C_0402_1005Metric,144.12,-134.3,-45,bottom
C7,100n,C_0402_1005Metric,136.745,-132.7,-90,bottom
C8,100n,C_0402_1005Metric,122.47,-141.55,90,bottom
C9,1u,C_0402_1005Metric,137.645,-144.375,-45,bottom
C10,100n,C_0402_1005Metric,132.795,-141.525,-45,bottom
C11,100n,C_0402_1005Metric,144.795,-134.975,135,bottom
C12,1u,C_0402_1005Metric,136.97,-143.7,-45,bottom
C13,1u,C_0402_1005Metric,70.375,-47.425,180,bottom
C14,1u,C_0402_1005Metric,68.325,-51.375,-90,bottom
C15,15p,C_0402_1005Metric,151.37,-132.8,-90,bottom
C16,15p,C_0402_1005Metric,146.4425,-132.8,90,bottom
C17,100n,C_0402_1005Metric,134.07,-136.325,45,bottom
D1,D_Small,Diode_SOD-123_noref2,52.57,-42.1,90,bottom
D2,D_Small,Diode_SOD-123_noref2,76.3825,-42.1,90,bottom
D3,D_Small,Diode_SOD-123_noref2,95.4325,-42.1,90,bottom
D4,D_Small,Diode_SOD-123_noref2,114.4825,-42.1,90,bottom
D5,D_Small,Diode_SOD-123_noref2,133.5325,-42.1,90,bottom
D6,D_Small,Diode_SOD-123_noref2,157.345,-42.1,90,bottom
D7,D_Small,Diode_SOD-123_noref2,176.395,-42.1,90,bottom
D8,D_Small,Diode_SOD-123_noref2,195.445,-42.1,90,bottom
D9,D_Small,Diode_SOD-123_noref2,214.495,-42.1,90,bottom
D10,D_Small,Diode_SOD-123_noref2,238.3075,-42.1,90,bottom
D11,D_Small,Diode_SOD-123_noref2,257.3575,-42.1,90,bottom
D12,D_Small,Diode_SOD-123_noref2,276.4075,-42.1,90,bottom
D13,D_Small,Diode_SOD-123_noref2,295.4575,-42.1,90,bottom
D14,D_Small,Diode_SOD-123_noref2,319.27,-42.1,90,bottom
D15,D_Small,Diode_SOD-123_noref2,343.0825,-42.1,90,bottom
D16,D_Small,Diode_SOD-123_noref2,362.1325,-42.1,90,bottom
D17,D_Small,Diode_SOD-123_noref2,381.1825,-42.1,90,bottom
D18,D_Small,Diode_SOD-123_noref2,52.57,-65.9125,90,bottom
D19,D_Small,Diode_SOD-123_noref2,71.62,-65.9125,90,bottom
D20,D_Small,Diode_SOD-123_noref2,90.67,-65.9125,90,bottom
D21,D_Small,Diode_SOD-123_noref2,109.72,-65.9125,90,bottom
D22,D_Small,Diode_SOD-123_noref2,128.77,-65.9125,90,bottom
D23,D_Small,Diode_SOD-123_noref2,147.82,-65.9125,90,bottom
D24,D_Small,Diode_SOD-123_noref2,166.87,-65.9125,90,bottom
D25,D_Small,Diode_SOD-123_noref2,185.92,-65.9125,90,bottom
D26,D_Small,Diode_SOD-123_noref2,204.97,-65.9125,90,bottom
D27,D_Small,Diode_SOD-123_noref2,224.02,-65.9125,90,bottom
D28,D_Small,Diode_SOD-123_noref2,243.07,-65.9125,90,bottom
D29,D_Small,Diode_SOD-123_noref2,262.12,-65.9125,90,bottom
D30,D_Small,Diode_SOD-123_noref2,281.17,-65.9125,90,bottom
D31,D_Small,Diode_SOD-123_noref2,300.22,-65.9125,90,bottom
D32,D_Small,Diode_SOD-123_noref2,319.27,-65.9125,90,bottom
D33,D_Small,Diode_SOD-123_noref2,343.0825,-65.9125,90,bottom
D34,D_Small,Diode_SOD-123_noref2,362.1325,-65.9125,90,bottom
D35,D_Small,Diode_SOD-123_noref2,381.1825,-65.9125,90,bottom
D36,D_Small,Diode_SOD-123_noref2,57.3325,-84.9625,90,bottom
D37,D_Small,Diode_SOD-123_noref2,81.145,-84.9625,90,bottom
D38,D_Small,Diode_SOD-123_noref2,100.195,-84.9625,90,bottom
D39,D_Small,Diode_SOD-123_noref2,119.245,-84.9625,90,bottom
D40,D_Small,Diode_SOD-123_noref2,138.295,-84.9625,90,bottom
D41,D_Small,Diode_SOD-123_noref2,157.345,-84.9625,90,bottom
D42,D_Small,Diode_SOD-123_noref2,176.395,-84.9625,90,bottom
D43,D_Small,Diode_SOD-123_noref2,195.445,-84.9625,90,bottom
D44,D_Small,Diode_SOD-123_noref2,214.495,-84.9625,90,bottom
D45,D_Small,Diode_SOD-123_noref2,233.545,-84.9625,90,bottom
D46,D_Small,Diode_SOD-123_noref2,252.595,-84.9625,90,bottom
D47,D_Small,Diode_SOD-123_noref2,271.645,-84.9625,90,bottom
D48,D_Small,Diode_SOD-123_noref2,290.695,-84.9625,90,bottom
D49,D_Small,Diode_SOD-123_noref2,314.5075,-84.9625,90,bottom
D50,D_Small,Diode_SOD-123_noref2,343.0825,-84.9625,90,bottom
D51,D_Small,Diode_SOD-123_noref2,362.1325,-84.9625,90,bottom
D52,D_Small,Diode_SOD-123_noref2,381.1825,-84.9625,90,bottom
D53,D_Small,Diode_SOD-123_noref2,59.71375,-104.0125,90,bottom
D54,D_Small,Diode_SOD-123_noref2,85.9075,-104.0125,90,bottom
D55,D_Small,Diode_SOD-123_noref2,104.9575,-104.0125,90,bottom
D56,D_Small,Diode_SOD-123_noref2,124.0075,-104.0125,90,bottom
D57,D_Small,Diode_SOD-123_noref2,143.0575,-104.0125,90,bottom
D58,D_Small,Diode_SOD-123_noref2,162.1075,-104.0125,90,bottom
D59,D_Small,Diode_SOD-123_noref2,181.1575,-104.0125,90,bottom
D60,D_Small,Diode_SOD-123_noref2,200.2075,-104.0125,90,bottom
D61,D_Small,Diode_SOD-123_noref2,219.2575,-104.0125,90,bottom
D62,D_Small,Diode_SOD-123_noref2,238.3075,-104.0125,90,bottom
D63,D_Small,Diode_SOD-123_noref2,257.3575,-104.0125,90,bottom
D64,D_Small,Diode_SOD-123_noref2,276.4075,-104.0125,90,bottom
D65,D_Small,Diode_SOD-123_noref2,307.36375,-104.0125,90,bottom
D66,D_Small,Diode_SOD-123_noref2,64.47625,-123.0625,90,bottom
D67,D_Small,Diode_SOD-123_noref2,95.4325,-123.0625,90,bottom
D68,D_Small,Diode_SOD-123_noref2,114.4825,-123.0625,90,bottom
D69,D_Small,Diode_SOD-123_noref2,133.5325,-123.0625,90,bottom
D70,D_Small,Diode_SOD-123_noref2,152.5825,-123.0625,90,bottom
D71,D_Small,Diode_SOD-123_noref2,171.6325,-123.0625,90,bottom
D72,D_Small,Diode_SOD-123_noref2,190.6825,-123.0625,90,bottom
D73,D_Small,Diode_SOD-123_noref2,209.7325,-123.0625,90,bottom
D74,D_Small,Diode_SOD-123_noref2,228.7825,-123.0625,90,bottom
D75,D_Small,Diode_SOD-123_noref2,247.8325,-123.0625,90,bottom
D76,D_Small,Diode_SOD-123_noref2,266.8825,-123.0625,90,bottom
D77,D_Small,Diode_SOD-123_noref2,293.07625,-123.0625,90,bottom
D78,D_Small,Diode_SOD-123_noref2,319.27,-123.0625,90,bottom
D79,D_Small,Diode_SOD-123_noref2,362.1325,-123.0625,90,bottom
D80,D_Small,Diode_SOD-123_noref2,54.95125,-142.1125,90,bottom
D81,D_Small,Diode_SOD-123_noref2,78.76375,-142.1125,90,bottom
D82,D_Small,Diode_SOD-123_noref2,102.57625,-142.1125,90,bottom
D83,D_Small,Diode_SOD-123_noref2,173.995,-143.45,90,bottom
D84,D_Small,Diode_SOD-123_noref2,245.45125,-142.1125,90,bottom
D85,D_Small,Diode_SOD-123_noref2,269.26375,-142.1125,90,bottom
D86,D_Small,Diode_SOD-123_noref2,293.07625,-142.1125,90,bottom
D87,D_Small,Diode_SOD-123_noref2,316.88875,-142.1125,90,bottom
