Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BOOTSEL1,SW_Push,SW_Push_1P1T_XKB_TS-1187A,143.22375,-184.367501,180,bottom
C1,100n,C_0402_1005Metric,165.85,-191.925,-45,bottom
C2,100n,C_0402_1005Metric,167.35,-191.75,90,bottom
C3,100n,C_0402_1005Metric,161.668504,-189.743504,-45,bottom
C4,100n,C_0402_1005Metric,160.996753,-189.071753,-45,bottom
C5,100n,C_0402_1005Metric,173.575,-187.125,180,bottom
C6,100n,C_0402_1005Metric,171.65,-181.175,-45,bottom
C7,100n,C_0402_1005Metric,164.275,-179.575,-90,bottom
C8,100n,C_0402_1005Metric,150,-188.425,90,bottom
C9,1u,C_0402_1005Metric,165.175,-191.25,-45,bottom
C10,100n,C_0402_1005Metric,160.325,-188.4,-45,bottom
C11,100n,C_0402_1005Metric,172.325,-181.85,-45,bottom
C12,1u,C_0402_1005Metric,164.5,-190.575,-45,bottom
C13,1u,C_0402_1005Metric,88.83,-88.8625,0,bottom
C14,1u,C_0402_1005Metric,87.9,-93.8625,0,bottom
C15,15p,C_0402_1005Metric,178.9,-179.675,-90,bottom
C16,15p,C_0402_1005Metric,173.9725,-179.675,90,bottom
C17,100n,C_0402_1005Metric,161.6,-183.2,45,bottom
D1,D_Small,Diode_SOD-123_noref,80.1,-88.975,90,bottom
D2,D_Small,Diode_SOD-123_noref,118.2,-88.975,90,bottom
D3,D_Small,Diode_SOD-123_noref,137.25,-88.975,90,bottom
D4,D_Small,Diode_SOD-123_noref,156.3,-88.975,90,bottom
D5,D_Small,Diode_SOD-123_noref,175.35,-88.975,90,bottom
D6,D_Small,Diode_SOD-123_noref,203.925,-88.975,90,bottom
D7,D_Small,Diode_SOD-123_noref,222.975,-88.975,90,bottom
D8,D_Small,Diode_SOD-123_noref,242.025,-88.975,90,bottom
D9,D_Small,Diode_SOD-123_noref,261.075,-88.975,90,bottom
D10,D_Small,Diode_SOD-123_noref,289.65,-88.975,90,bottom
D11,D_Small,Diode_SOD-123_noref,308.7,-88.975,90,bottom
D12,D_Small,Diode_SOD-123_noref,327.75,-88.975,90,bottom
D13,D_Small,Diode_SOD-123_noref,346.8,-88.975,90,bottom
D14,D_Small,Diode_SOD-123_noref,370.6125,-88.975,90,bottom
D15,D_Small,Diode_SOD-123_noref,389.6625,-88.975,90,bottom
D16,D_Small,Diode_SOD-123_noref,408.7125,-88.975,90,bottom
D17,D_Small,Diode_SOD-123_noref,80.1,-112.7875,90,bottom
D18,D_Small,Diode_SOD-123_noref,99.15,-112.7875,90,bottom
